10	300
Alecos_Markides	1	4
Alecos_Markides	4	1
Alec_Baldwin	10	5
Alec_Baldwin	4	4
Alec_Baldwin	3	5
Alejandro_Atchugarry	2	1
Alejandro_Atchugarry	1	4
Alejandro_Atchugarry	1	3
Alejandro_Avila	6	9
Alejandro_Avila	10	11
Alejandro_Avila	2	10
Alejandro_Fernandez	3	2
Alejandro_Fernandez	3	3
Alejandro_Fernandez	1	4
Alejandro_Gonzalez_Inarritu	4	1
Alejandro_Gonzalez_Inarritu	2	3
Alejandro_Gonzalez_Inarritu	1	2
Alejandro_Lembo	2	2
Alejandro_Lembo	1	1
Alejandro_Lembo	2	2
Aaron_Guiel	2	Jean_Todt	1	
Aaron_Patterson	1	Daniel_Patrick_Moynihan	1	
Aaron_Peirsol	6	Mike_Miller	2	
Aaron_Pena	1	Emily_Stevens	2	
Aaron_Sorkin	6	Paul_Gascoigne	2	
Aaron_Tippin	4	Richard_Naughton	4	
Abbas_Kiarostami	2	Brian_Scalabrine	3	
Abba_Eban	4	Derek_Jeter	9	
Abdel_Madi_Shabneh	4	Mohamed_ElBaradei	31	
Abdel_Nasser_Assidi	3	Halbert_Fillinger	3	
Abdulaziz_Kamilov	2	Walid_Al-Awadi	2	
Abdullah	5	Howard_Stern	3	
Abdullah_Ahmad_Badawi	1	Jose_Jose	4	
Abdullah_al-Attiyah	7	Sam_Mendes	8	
Abdullah_Gul	42	Ham_Pong-sil	1	
Abdullatif_Sener	6	Dunn_Lampton	4	
Abdul_Majeed_Shobokshi	1	Wanda_de_la_Jesus	2	
Abel_Aguilar	4	Boris_Henry	3	
Abel_Pacheco	5	Warren_Beatty	4	
Abid_Hamid_Mahmud_Al-Tikriti	8	Roh_Moo-hyun	26	
Abraham_Foxman	1	Michael_Dell	3	
Aby_Har-Even	1	Hamzah_Haz	2	
Adam_Ant	3	Hamid_Reza_Asefi	1	
Adam_Freier	2	Chris_Gratton	4	
Adam_Kennedy	3	Nadia_Forte	4	
Adam_Mair	2	Hugh_Jessiman	2	
Adam_Rich	1	Fabian_Vargas	3	
Adam_Sandler	6	Mahima_Chaudhari	4	
Adam_Scott	4	Robin_Cook	6	
Adelina_Avila	2	David_Myers	4	
Adel_Al-Jubeir	9	Javier_Vazquez	1	
Adisai_Bodharamik	1	Jolanta_Kwasniewski	2	
Adolfo_Aguilar_Zinser	1	Herman_Edwards	4	
Adolfo_Rodriguez_Saa	5	Wycliffe_Grousbeck	1	
Adoor_Gopalakarishnan	4	Edie_Falco	1	
Adriana_Lima	1	Earl_Fritts	3	
Adriana_Perez_Navarro	3	Sadam_Hassan	2	
Adrianna_Zuzic	4	Michael_Sheehan	2	
Adrian_Fernandez	4	Koji_Uehara	1	
Adrian_McPherson	3	Diana_Taurasi	7	
Adrian_Murrell	3	Jean-Luc_Bideau	2	
Adrian_Nastase	2	Guangdong_Ou_Guangyuan	4	
Adrien_Brody	33	Mikhail_Shvydkoi	1	
Afton_Smith	2	Christopher_Conyers	1	
Agbani_Darego	2	Jim_Anderson	4	
Ahmad_Jbarah	2	Mike_Scioscia	8	
Ahmad_Masood	4	Deece_Eckstein	4	
Ahmed_Ahmed	2	Max_Mayfield	3	
Ahmed_Chalabi	15	Anjum_Hussain	4	
Ahmed_Ghazi	4	Paul_Byrd	1	
Ahmed_Lopez	2	Ron_Gonzales	3	
Ahmed_Qureia	3	Sim_Yong	2	
Ahmet_Demir	3	Bijan_Darvish	6	
Ahmet_Necdet_Sezer	2	Kenneth_Reichert	1	
Aicha_El_Ouafi	6	Rachel_Hunter	4	
Aidan_Quinn	4	Grace_Brinell	1	
Aileen_Riggin_Soule	3	Tony_Elias	4	
Ainsworth_Dyer	2	Albrecht_Mentz	6	
Ain_Seppik	4	Conan_OBrien	4	
Aitor_Gonzalez	4	Mary_Hill	1	
Ai_Sugiyama	2	Lyle_Vanclief	7	
AJ_Cook	1	Natasha_Lyonne	3	
AJ_Lamas	3	Vladimir_Meciar	3	
Akbar_Al_Baker	1	Jim_Hendry	4	
Akbar_Hashemi_Rafsanjani	2	Bo_Pelini	8	
Akhmed_Zakayev	4	Antony_Leung	6	
Akiko_Morigami	1	Recep_Tayyip_Erdogan	103	
Alain_Ducasse	4	TA_McLendon	3	
Alanis_Morissette	1	Hector_Babenco	9	
Alanna_Ubach	3	Saburo_Kawabuchi	3	
Alan_Ball	7	Mick_Jagger	12	
Alan_Dreher	4	Abdul_Majeed_Shobokshi	4	
Alan_Greer	1	Gilles_Panizzi	3	
Alan_Jackson	1	OJ_Simpson	3	
Alan_Mulally	2	Janet_Napolitano	8	
Alan_Stonecipher	4	Elisha_Cuthbert	2	
Alan_Tang_Kwong-wing	4	Jennifer_Aniston	17	
Alan_Zemaitis	3	Kong_Quan	4	
Alastair_Campbell	9	Charles_Tannok	1	
Alastair_Johnston	4	Melinda_Czink	2	
Albaro_Recoba	1	Urmila_Matondkar	2	
Alberta_Lee	2	Ali_Bin_Hussein	1	
Alberto_Acosta	4	Renato_Soru	1	
Alberto_Fujimori	4	Jonathan_Arden	3	
Alberto_Gonzales	3	Dave_Campo	5	
Alberto_Ruiz_Gallardon	1	Chen_Tsai-chin	4	
Alberto_Sordi	1	Francis_Crick	1	
Albert_Brooks	3	Nathan_Lane	2	
Albert_Costa	22	Martin_Rodriguez	2	
Albert_Montanes	3	Paul_Sarbanes	5	
Albrecht_Mentz	2	Arsinee_Khanjian	5	
Aldo_Paredes	2	Martin_Rodriguez	2	
Alecos_Markides	1	Hamid_Efendi	3	
Alec_Baldwin	12	Astrid_Betancourt	1	
Alejandro_Atchugarry	1	Marc_Gold	2	
Alejandro_Avila	2	John_Banko	4	
Alejandro_Fernandez	4	Diego_Colorado	1	
Alejandro_Gonzalez_Inarritu	3	Steve_Coogan	1	
Alejandro_Lembo	3	Nathan_Powell	1	
Alejandro_Lerner	3	Steve_Avery	2	
Alejandro_Lopez	4	Keith_Lockhart	2	
Alejandro_Toledo	48	Edward_Lohn	1	
Aleksander_Kwasniewski	6	Morgan_Freeman	3	
Aleksander_Voloshin	2	Gonzalo_Sanchez_de_Lozada	10	
Alessandra_Cerna	4	Marcelo_Ebrard	8	
Alessandro_Nesta	4	Prince_Felipe	1	
Alexander_Downer	8	Abdel_Madi_Shabneh	3	
Alexander_Losyukov	7	Audrey_Sauret	3	
Alexander_Payne	3	Bode_Miller	3	
Alexander_Rumyantsev	1	Hiroki_Gomi	1	
Alexandra_Jackson	4	Mike_Smith	2	
Alexandra_Pelosi	4	Penelope_Cruz	3	
Alexandra_Rozovskaya	3	John_Duprey	1	
Alexandra_Spann	4	Brett_Boone	3	
Alexandra_Stevenson	11	Edward_Greenspan	4	
Alexandre_Daigle	2	Sean_Astin	6	
Alexandre_Herchcovitch	4	Adoor_Gopalakarishnan	1	
Alexandre_Vinokourov	2	Lorraine_Bracco	3	
Alexa_Loren	3	Caio_Blat	1	
Alexa_Vega	4	Larry_Nichols	1	
Alexis_Bledel	3	Dinora_Rosales	1	
Alexis_Dennisoff	2	Mark_Salter	2	
Alex_Barros	8	Morgan_Freeman	1	
Alex_Cabrera	2	Arie_Haan	3	
Alex_Corretja	3	Peter_Rasch	3	
Alex_Ferguson	2	Kent_Robinson	1	
Alex_Holmes	1	Meryl_Streep	15	
Alex_King	3	Gian_Marco	6	
Alex_Penelas	7	Tom_OBrien	3	
Alex_Popov	4	Gonzalo_Sanchez_de_Lozada	2	
Alex_Sink	6	Ricky_Ray	2	
Alex_Wallau	4	Marlene_Weingartner	3	
Alex_Zanardi	3	Isidro_Pastor	2	
Alfonso_Cuaron	3	Linda_Mason	2	
Alfonso_Soriano	4	Edward_Kennedy	3	
Alfredo_Moreno	2	Howard_Dean	23	
Alfredo_Pena	2	Richard_Armitage	28	
Alfred_Sant	2	Gabriel_Hughes	1	
Alice_Fisher	8	Pete_Aldridge	3	
Alicia_Keys	2	Carlos_Ruckauf	1	
Alicia_Molik	1	Rollie_Massimino	2	
Alicia_Silverstone	5	Junichiro_Koizumi	214	
Alicia_Witt	3	Alexandra_Rozovskaya	3	
Alimzhan_Tokhtakhounov	3	Dick_Armey	1	
Alina_Kabaeva	4	Tayshaun_Prince	3	
Aline_Chretien	1	Cecilia_Chang	1	
Alison_Krauss	1	Ali_Naimi	12	
Alison_Lohman	3	Eric_Daze	3	
Alistair_MacDonald	3	Franz_Muentefering	2	
Ali_Abbas	6	Dick_Latessa	1	
Ali_Adbul_Karim_Madani	3	Erin_Brockovich	2	
Ali_Ahmeti	3	Paul_Kagame	7	
Ali_Bin_Hussein	4	Erika_Christensen	6	
Ali_Fallahian	4	Ron_Lantz	2	
Ali_Hammoud	4	Eric_Idle	1	
Ali_Khamenei	2	Carlos_Menem	16	
Ali_Mohammed_Maher	1	Richard_Sterner	2	
Ali_Naimi	5	Meirion_Evans	4	
Allan_Wagner	4	Michael_Douglas	12	
Allen_Iverson	6	Alexander_Losyukov	15	
Allen_Rock	4	Alexandra_Rozovskaya	3	
Allison_Janney	7	Olivia_Newton-John	2	
Allison_Searing	2	Patrick_Ewing	2	
Allyson_Felix	9	Taoufik_Mathlouthi	1	
Alma_Powell	1	Jessica_Simpson	4	
Almeida_Baptista	2	Mickey_Sherman	4	
Alonzo_Mourning	3	Brian_Mulroney	7	
Alvaro_Noboa	1	Scott_Ritter	1	
Alvaro_Silva_Calderon	15	Frank_Cassell	12	
Alvaro_Uribe	16	Wycliffe_Grousbeck	2	
Alyse_Beaupre	4	Dyab_Abou_Jahjah	4	
Alyson_Hannigan	4	Parthiv_Patel	4	
Aly_Wagner	3	Boris_Trajkovski	4	
Al_Cardenas	4	Craig_Doblin	3	
Al_Davis	3	Kifah_Ajouri	3	
Al_Gore	17	Bill_Parsons	3	
Al_Leiter	4	Roger_Federer	24	
Al_Pacino	2	Andrew_Weissmann	10	
Al_Sharpton	12	Oracene_Williams	3	
Amanda_Beard	1	Judi_Patton	2	
Amanda_Bynes	5	Jim_Schwarz	4	
Amanda_Coetzer	4	Sheryl_Crow	26	
Amanda_Marsh	2	Michael_Kostelnik	2	
Amanda_Plumer	1	Fernando_Alonso	4	
Amber_Tamblyn	6	Tex_Ritter	3	
Ambrose_Lee	2	Tom_OBrien	2	
Amelia_Vega	13	Gonzalo_Sanchez_de_Lozada	1	
Amelie_Mauresmo	22	Patricia_Johnson	3	
Amer_al-Saadi	11	Omar_Khan_Sharif	1	
Amram_Mitzna	1	Arye_Mekel	6	
Amr_Moussa	4	Nicholas_Tse	3	
Amy_Cotton	3	Stephen_Crampton	1	
Amy_Gale	1	Alexander_Losyukov	10	
Amy_Redford	4	Jonathan_Karsh	3	
Amy_Smart	1	Nan_Wang	8	
Amy_Yasbeck	4	Sally_Kirkland	1	
Anastasia_Kelesidou	2	Mark_Warner	5	
Anastasia_Myskina	2	Stacy_Dragila	8	
Anatoliy_Kinakh	3	Donna_Morrissey	1	
Ana_Claudia_Talancon	2	Recep_Tayyip_Erdogan	2	
Ana_Guevara	3	Silvio_Berlusconi	1	
Ana_Isabel_Sanchez	2	Carlo_Ancelotti	5	
Ana_Palacio	10	Elton_John	12	
Ana_Paula_Gerard	4	Kai-Uwe_Ricke	1	
Ana_Sebastiao	2	Nicolas_Latorre	3	
Anderson_Varejao	3	Julianna_Margulies	1	
Anders_Ebbeson	4	Ronald_Reagan	1	
Anders_Fogh_Rasmussen	8	Marianne_Stanley	3	
Andreas_Vinciguerra	2	Nick_Cassavetes	2	
Andrea_Bocelli	4	John_Cornyn	4	
Andrea_Kiser	3	Eduardo_Chillida	1	
Andrea_Yates	2	Michael_Caine	4	
Andrei_Konchalovsky	3	Mike_Matthews	2	
Andrei_Mikhnevich	4	Michelle_Kwan	31	
Andrei_Nikolishin	4	Pharrell_Williams	4	
Andres_DAlessandro	4	John_Nimmo	3	
Andres_Manuel_Lopez_Obrador	1	Nawabzada_Nasrullah_Khan	4	
Andres_Pastrana	2	William_Webster	1	
Andrew_Bernard	3	Shannyn_Sossamon	3	
Andrew_Bunner	5	Kiki_Vandeweghe	3	
Andrew_Caldecott	4	Hussein_Malik	2	
Andrew_Cuomo	4	Hoda_Asfor	3	
Andrew_Fastow	4	Vincent_Gallo	1	
Andrew_Gilligan	4	Theo_Epstein	6	
Andrew_Jarecki	3	Carson_Palmer	6	
Andrew_Luster	2	Maria_Guida	1	
Andrew_Niccol	1	Jean_Todt	2	
Andrew_Sabey	2	Clifford_Etienne	4	
Andrew_Shutley	3	Mark_Komara	2	
Andrew_Weissmann	1	Sourav_Ganguly	5	
Andrew_Wetzler	4	Richard_Ward	3	
Andre_Agassi	12	Win_Aung	7	
Andre_Bucher	2	Scott_Rolen	3	
Andre_Lange	3	Steven_Curtis_Chapman	4	
Andre_Smith	2	Park_Na-kyong	3	
Andre_Techine	3	Alonzo_Mourning	4	
Andrzej_Tyszkiewicz	2	Abel_Pacheco	7	
Andy_Benes	3	Jennie_Finch	1	
Andy_Bryant	4	Paul_Bremer	47	
Andy_Garcia	4	Natalie_Maines	12	
Andy_Graves	1	Najib_al-Salhi	3	
Andy_Griffith	2	Riek_Blanjaar	1	
Andy_Hebb	6	Natalie_Williams	1	
Andy_Lau	2	Francis_Collins	2	
Andy_Madikians	3	Lewis_Booth	1	
Andy_Perez	2	Jim_Carrey	7	
Andy_Roddick	11	Bill_Herrion	3	
Andy_Rooney	1	Dominique_Perben	1	
Anette_Hosoi	2	Chuck_Woolery	4	
Angela_Alvarado_Rosa	3	Simona_Hradil	4	
Angela_Bassett	12	Joe_Lieberman	24	
Angela_Lansbury	5	Joe_Leonard	3	
Angela_Mascia-Frye	1	Anthony_Hopkins	6	
Angela_Merkel	7	Eloy_Gutierrez	1	
Angelina_Jolie	65	Pilar_Montenegro	3	
Angelo_Reyes	14	Chance_Mock	4	
Angel_Lockward	4	Keith_Lowen	1	
Angel_Maza	2	Richard_Sterner	1	
Angie_Arzola	4	Yukio_Hatoyama	1	
Angie_Martinez	3	Keith_Bishop_Jr	3	
Anibal_Ibarra	12	Roger_Corbett	2	
Anil_Ramsook	3	Robert_Nardelli	3	
Anjum_Hussain	1	Brock_Berlin	4	
Anna_Chicherova	3	Anders_Fogh_Rasmussen	3	
Anna_Kournikova	9	Horacio_Julio_Pina	1	
Anna_Nicole_Smith	1	Rio_Ferdinand	3	
Anneli_Jaatteenmaki	1	Mark_Foley	4	
Annette_Bening	3	Dennis_Powell	8	
Annette_Lu	5	Will_Young	3	
Anne_Cavers	4	Noer_Moeis	4	
Anne_Donovan	4	Bill_Doba	2	
Anne_Heche	2	Mile_Mrksic	1	
Anne_Krueger	6	Bill_Callahan	2	
Anne_McLellan	4	George_Plimpton	3	
Anne_ONeil	2	Nancy_Greenlaw	3	
Annie_Machon	3	Jorge_Valdano	7	
Ann_Godbehere	2	Magda_Kertasz	2	
Ann_Landers	1	Mark_Warner	2	
Ann_Morgan	4	Gennifer_Flowers	3	
Ann_Veneman	27	Shigeo_Nagashima	2	
Antanas_Valionis	4	Sohail_Abbas	4	
Anthony_Carter	4	Luis_Horna	6	
Anthony_Corso	3	Fred_Thompson	2	
Anthony_Ervin	4	Naomi_Bronstein	4	
Anthony_Fauci	3	Jonathan_Schroeder	1	
Anthony_Garotinho	4	Candie_Kung	11	
Anthony_Hazen	1	Guangdong_Ou_Guangyuan	3	
Anthony_Hopkins	8	Marissa_Jaret_Winokur	5	
Anthony_LaPaglia	5	Sivan_Klein	1	
Anthony_Lee_Johnson	2	Lara_Logan	1	
Anthony_Mazur	1	Arie_Haan	2	
Anthony_Pico	2	Dale_Earnhardt_Jr	6	
Anthony_Principi	1	Walter_Woods	4	
Anthony_Rackauckas	1	Lance_Armstrong	28	
Antje_Buschschulte	4	Paula_Zahn	2	
Antonio_Banderas	11	Guillermo_Canas	4	
Antonio_Bernardo	3	Richard_Pennington	3	
Antonio_Cassano	4	Steven_Van_Zandt	4	
Antonio_Catania	2	John_Malkovich	4	
Antonio_Elias_Saca	3	Larry_Templeton	1	
Alejandro_Lerner	4	1
Alejandro_Lerner	2	1
Alejandro_Lerner	2	2
Alejandro_Lopez	1	4
Alejandro_Lopez	1	3
Alejandro_Lopez	2	4
Alejandro_Toledo	48	93
Alejandro_Toledo	6	14
Alejandro_Toledo	75	127
Aleksander_Kwasniewski	4	7
Aleksander_Kwasniewski	2	2
Aleksander_Kwasniewski	7	7
Aleksander_Voloshin	3	3
Aleksander_Voloshin	4	3
Aleksander_Voloshin	1	3
Alessandra_Cerna	1	1
Alessandra_Cerna	3	2
Alessandra_Cerna	1	1
Alessandro_Nesta	1	4
Alessandro_Nesta	2	1
Alessandro_Nesta	1	1
Alexander_Downer	4	1
Alexander_Downer	1	11
Alexander_Downer	12	9
Alexander_Losyukov	11	10
Alexander_Losyukov	12	4
Alexander_Losyukov	2	9
Alexander_Payne	1	2
Alexander_Payne	1	3
Alexander_Payne	4	4
Alexander_Rumyantsev	1	1
Alexander_Rumyantsev	3	3
Alexander_Rumyantsev	2	2
Alexandra_Jackson	2	1
Alexandra_Jackson	2	2
Alexandra_Jackson	1	4
Alexandra_Pelosi	4	3
Alexandra_Pelosi	4	3
Alexandra_Pelosi	2	2
Alexandra_Rozovskaya	4	4
Alexandra_Rozovskaya	2	1
Alexandra_Rozovskaya	1	2
Alexandra_Spann	2	4
Alexandra_Spann	2	3
Alexandra_Spann	1	1
Alexandra_Stevenson	1	7
Alexandra_Stevenson	5	1
Alexandra_Stevenson	6	3
Alexandre_Daigle	4	2
Alexandre_Daigle	3	1
Alexandre_Daigle	1	1
Alexandre_Herchcovitch	2	4
Alexandre_Herchcovitch	2	2
Alexandre_Herchcovitch	3	1
Alexandre_Vinokourov	2	1
Alexandre_Vinokourov	3	3
Alexandre_Vinokourov	4	3
Alexa_Loren	1	3
Alexa_Loren	2	3
Alexa_Loren	1	3
Alexa_Vega	4	2
Alexa_Vega	1	2
Alexa_Vega	4	4
Alexis_Bledel	4	2
Alexis_Bledel	3	4
Alexis_Bledel	2	2
Alexis_Dennisoff	3	4
Alexis_Dennisoff	2	2
Alexis_Dennisoff	4	4
Alex_Barros	8	6
Alex_Barros	2	2
Alex_Barros	1	8
Alex_Cabrera	2	4
Alex_Cabrera	3	4
Alex_Cabrera	3	1
Alex_Corretja	3	3
Alex_Corretja	3	2
Alex_Corretja	1	2
Alex_Ferguson	4	3
Alex_Ferguson	4	1
Alex_Ferguson	3	1
Alex_Holmes	1	4
Alex_Holmes	4	2
Alex_Holmes	3	1
Alex_King	4	3
Alex_King	3	2
Alex_King	2	1
Alex_Penelas	5	1
Alex_Penelas	5	3
Alex_Penelas	5	5
Alex_Popov	3	1
Alex_Popov	3	3
Alex_Popov	1	1
Alex_Sink	1	8
Alex_Sink	5	1
Alex_Sink	5	2
Alex_Wallau	1	1
Alex_Wallau	1	3
Alex_Wallau	1	2
Alex_Zanardi	1	3
Alex_Zanardi	2	3
Alex_Zanardi	2	4
Alfonso_Cuaron	2	1
Alfonso_Cuaron	2	3
Alfonso_Cuaron	1	4
Alfonso_Soriano	2	1
Alfonso_Soriano	4	4
Alfonso_Soriano	3	1
Alfredo_Moreno	2	3
Alfredo_Moreno	4	3
Alfredo_Moreno	4	3
Alfredo_Pena	2	4
Alfredo_Pena	3	4
Alfredo_Pena	4	2
Alfred_Sant	3	3
Alfred_Sant	3	3
Alfred_Sant	2	3
Alice_Fisher	3	4
Alice_Fisher	7	2
Alice_Fisher	4	3
